"1A Lite American Lager","1",8,12,2,3,1.028,1.04,0.998,1.008,2.8,4.2
"1B Standard American Lager","1",8,15,2,4,1.04,1.05,1.004,1.01,4.2,5.2
"1C Premium American Lager","1",15,25,2,6,1.046,1.056,1.008,1.012,4.6,6
"1D Munich Helles","1",16,22,3,5,1.045,1.051,1.008,1.012,4.7,5.4
"1E Dortmunder Export","1",23,30,4,6,1.048,1.056,1.01,1.015,4.8,6
"2A German Pilsner (Pils)","2",25,45,2,5,1.044,1.05,1.008,1.013,4.4,5.2
"2B Bohemian Pilsener","2",35,45,3.5,6,1.044,1.056,1.013,1.017,4.2,5.4
"2C Classic American Pilsner","2",25,40,3,6,1.044,1.06,1.01,1.015,4.5,6
"3A Vienna Lager","3",18,30,10,16,1.046,1.052,1.01,1.014,4.5,5.5
"3B Oktoberfest/Märzen","3",20,28,7,14,1.05,1.057,1.012,1.016,4.8,5.7
"4A Dark American Lager","4",8,20,14,22,1.044,1.056,1.008,1.012,4.2,6
"4B Munich Dunkel","4",18,28,14,28,1.048,1.056,1.01,1.016,4.5,5.6
"4C Schwarzbier (Black Beer)","4",22,32,17,30,1.046,1.052,1.01,1.016,4.4,5.4
"5A Maibock/Helles Bock","5",23,35,6,11,1.064,1.072,1.011,1.018,6.3,7.4
"5B Traditional Bock","5",20,27,14,22,1.064,1.072,1.013,1.019,6.3,7.2
"5C Doppelbock","5",16,26,6,25,1.072,1.112,1.016,1.024,7,10
"5D Eisbock","5",25,35,18,30,1.078,1.12,1.02,1.035,9,14
"6A Cream Ale","6",15,20,2.5,5,1.042,1.055,1.006,1.012,4.2,5.6
"6B Blonde Ale","6",15,28,3,6,1.038,1.054,1.008,1.013,3.8,5.5
"6C Kölsch","6",20,30,3.5,5,1.044,1.05,1.007,1.011,4.4,5.2
"6D American Wheat or Rye Beer","6",15,30,3,6,1.04,1.055,1.008,1.013,4,5.5
"7A Northern German Altbier","7",25,40,13,19,1.046,1.054,1.01,1.015,4.5,5.2
"7B California Common Beer","7",30,45,10,14,1.048,1.054,1.011,1.014,4.5,5.5
"7C Düsseldorf Altbier","7",35,50,11,17,1.046,1.054,1.01,1.015,4.5,5.2
"8A Standard/Ordinary Bitter","8",25,35,4,14,1.032,1.04,1.007,1.011,3.2,3.8
"8B Special/Best/Premium Bitter","8",25,40,5,16,1.04,1.048,1.008,1.012,3.8,4.6
"8C Extra Special/Strong Bitter (English Pale Ale)","8",30,50,6,18,1.048,1.06,1.01,1.016,4.6,6.2
"9A Scottish Light 60/-","9",10,20,9,17,1.03,1.035,1.01,1.013,2.5,3.2
"9B Scottish Heavy 70/-","9",10,25,9,17,1.035,1.04,1.01,1.015,3.2,3.9
"9C Scottish Export 80/-","9",15,30,9,17,1.04,1.054,1.01,1.016,3.9,5
"9D Irish Red Ale","9",17,28,9,18,1.044,1.06,1.01,1.014,4,6
"9E Strong Scotch Ale","9",17,35,14,25,1.07,1.13,1.018,1.056,6.5,10
"10A American Pale Ale","10",30,45,5,14,1.045,1.06,1.01,1.015,4.5,6.2
"10B American Amber Ale","10",25,40,10,17,1.045,1.06,1.01,1.015,4.5,6.2
"10C American Brown Ale","10",20,40,18,35,1.045,1.06,1.01,1.016,4.3,6.2
"11A Mild","11",10,25,12,25,1.03,1.038,1.008,1.013,2.8,4.5
"11B Southern English Brown","11",12,20,19,35,1.033,1.042,1.011,1.014,2.8,4.1
"11C Northern English Brown Ale","11",20,30,12,22,1.04,1.052,1.008,1.013,4.2,5.4
"12A Brown Porter","12",18,35,20,30,1.04,1.052,1.008,1.014,4,5.4
"12B Robust Porter","12",25,50,22,35,1.048,1.065,1.012,1.016,4.8,6.5
"12C Baltic Porter","12",20,40,17,30,1.06,1.09,1.016,1.024,5.5,9.5
"13A Dry Stout","13",30,45,25,40,1.036,1.05,1.007,1.011,4,5
"13B Sweet Stout","13",20,40,30,40,1.044,1.06,1.012,1.024,4,6
"13C Oatmeal Stout","13",25,40,22,40,1.048,1.065,1.01,1.018,4.2,5.9
"13D Foreign Extra Stout","13",30,70,30,40,1.056,1.075,1.01,1.018,5.5,8
"13E American Stout","13",35,75,30,40,1.05,1.075,1.01,1.022,5,7
"13F Russian Imperial Stout","13",50,90,30,40,1.075,1.115,1.018,1.03,8,12
"14A English IPA","14",40,60,8,14,1.05,1.075,1.01,1.018,5,7.5
"14B merican IPA","14",40,70,6,15,1.056,1.075,1.01,1.018,5.5,7.5
"14C Imperial IPA","14",60,120,8,15,1.07,1.09,1.01,1.02,7.5,10
"15A Weizen/Weissbier","15",8,15,2,8,1.044,1.052,1.01,1.014,4.3,5.6
"15B Dunkelweizen","15",10,18,14,23,1.044,1.056,1.01,1.014,4.3,5.6
"15C Weizenbock","15",15,30,12,25,1.064,1.09,1.015,1.022,6.5,8
"15D Roggenbier (German Rye Beer)","15",10,20,14,19,1.046,1.056,1.01,1.014,4.5,6
"16A Witbier","16",10,20,2,4,1.044,1.052,1.008,1.012,4.5,5.5
"16B Belgian Pale Ale","16",20,30,8,14,1.048,1.054,1.01,1.014,4.8,5.5
"16C Saison","16",20,35,5,14,1.048,1.065,1.002,1.012,5,7
"16D Bière de Garde","16",18,28,6,19,1.06,1.08,1.008,1.016,6,8.5
"16E Belgian Specialty Ale","16",,,,,,,,,,
"17A Berliner Weisse","17",3,8,2,3,1.028,1.032,1.003,1.006,2.8,3.8
"17B Flanders Red Ale","17",10,25,10,16,1.048,1.057,1.002,1.012,4.6,6.5
"17C Flanders Brown Ale/Oud Bruin","17",20,25,15,22,1.04,1.074,1.008,1.012,4,8
"17D Straight (Unblended) Lambic","17",0,10,3,7,1.04,1.054,1.001,1.01,5,6.5
"17E Gueuze","17",0,10,3,7,1.04,1.06,1,1.006,5,8
"17F Fruit Lambic","17",0,10,3,7,1.04,1.06,1,1.01,5,7
"18A Belgian Blond Ale","18",15,30,4,7,1.062,1.075,1.008,1.018,6,7.5
"18B Belgian Dubbel","18",15,25,10,17,1.062,1.075,1.008,1.018,6,7.6
"18C Belgian Tripel","18",20,40,4.5,7,1.075,1.085,1.008,1.014,7.5,9.5
"18D Belgian Golden Strong Ale","18",22,35,3,6,1.07,1.095,1.005,1.016,7.5,10.5
"18E Belgian Dark Strong Ale","18",20,35,12,22,1.075,1.11,1.01,1.024,8,11
"19A Old Ale","19",30,60,10,22,1.06,1.09,1.015,1.022,6,9
"19B English Barleywine","19",35,70,8,22,1.08,1.12,1.018,1.03,8,12
"19C American Barleywine","19",50,120,10,19,1.08,1.12,1.016,1.03,8,12
"20 Fruit Beer","20",,,,,,,,,,,
"21A Spice, Herb, or Vegetable Beer","21",,,,,,,,,,
"21B Christmas/Winter Specialty Spiced Beer","21",,,,,,,,,,
"22A Classic Rauchbier","22",20,30,12,22,1.05,1.07,1.012,1.016,4.8,6
"22B Other Smoked Beer","22",,,,,,,,,,
"22C Wood-Aged Beer","22",,,,,,,,,,
"23 SPECIALTY BEER","23",,,,,,,,,,,
